음낭 부종: 음낭 팽창, 음낭 종양, 고환 부어있음, 고환 종양, 고환 부종
자제력 상실 두려움: 자제력 상실 공포, 통제 불능 두려움, 자제력 잃을까 두려움, 통제력 상실 두려움, 자제력 문제 공포
병적골절: 병적 골절, 비정상적 골절, 골절 문제, 골절 이상, 뼈 부러짐
갈색 피부 반점: 갈색 반점, 피부 갈색점, 갈색 반점 피부, 피부의 갈색 반점, 갈색 피부 점
혼수: 혼수 상태, 의식 불명, 혼미, 혼수 증상, 의식 상실
굳은 살: 굳은살, 피부 경화, 피부 굳음, 굳어진 살, 피부 두꺼워짐
화농성 객담: 고름 가래, 화농 가래, 고름 섞인 가래, 화농성 기침, 화농성 점액
납작한 코: 편평한 코, 눌린 코, 코 납작함, 납작해진 코, 코 모양 납작
지속 발기: 발기 지속, 발기 문제, 장시간 발기, 발기 불능, 발기 유지
판단력장애: 판단 문제, 판단력 저하, 판단력 상실, 결정 능력 문제, 판단력의 이상
무맥: 맥박 없음, 맥박 소실, 맥박 안 잡힘, 맥박 상실, 맥박 측정 불가
열수: 열기 있는 땀, 땀 분출, 더운 땀, 열 난 땀, 뜨거운 땀
잇몸염증: 잇몸 염증, 잇몸 부기, 잇몸 통증, 잇몸 질환, 잇몸의 붓기
수면 마비: 잠 마비, 수면 중 마비, 잠 중 마비, 수면 무력감, 잠 마비 상태
반점: 피부 반점, 반점 증상, 반점 질환, 피부의 반점, 작은 반점
빈호흡: 빠른 호흡, 얕은 호흡, 빈번한 호흡, 호흡 급함, 빠른 숨
부분적 음순융합: 음순 부분 융합, 음순 융합, 음순 결합, 음순 붙음, 음순의 융합
탈수: 수분 부족, 체액 부족, 탈수 증상, 수분 결핍, 탈수 상태
긴박뇨: 갑작스런 소변 욕구, 급한 소변, 소변 참기 어려움, 갑작스런 배뇨 욕구, 긴급 배뇨
경련: 근육 경련, 근육 떨림, 경련 증상, 근육의 경련, 떨림 현상
장마비: 장기 마비, 소화기관 마비, 장의 마비, 소화 불능, 장기능 마비
문맥성고혈압: 간문맥 고혈압, 간문맥 혈압 증가, 간 혈압 상승, 간문맥 압력 상승, 간 혈압 문제
흥분: 고양감, 격양, 신남, 들뜸, 흥분 상태
이폐색감: 귀 막힘, 귀가 꽉 찬 느낌, 귀가 막힌 느낌, 귀가 먹먹함, 귀의 폐쇄감
섬망: 혼란, 착란, 정신 혼미, 섬망 상태, 혼동
어지러움: 현기증, 어지럼증, 어지러움 증상, 빙글빙글 돌음, 어지러움 상태
시림: 추위 느낌, 차가움, 냉기, 서늘함, 시린 느낌
발육부전: 성장 부진, 발달 지연, 성장 장애, 발육 장애, 성장 문제
눈꺼풀 처짐증: 눈꺼풀 하수, 눈꺼풀 쳐짐, 처진 눈꺼풀, 안검하수, 눈꺼풀 내려옴
눈비빔: 눈 비비기, 눈 비빔 증상, 눈 가려움, 눈 간지러움, 눈 문지름
말더듬: 말더듬증, 말 막힘, 언어 장애, 더듬는 말, 말 더듬기
흉부압박감: 가슴 답답함, 흉부 불편감, 가슴 조임, 가슴 압박, 흉부 압박
임신중 배의 크기가 줄어듦: 임신 중 배 작아짐, 임신 중 배 감소, 임신 배 줄어듦, 임신 배 크기 변화, 임신 중 배 크기 감소
정서 및 행동의 일탈: 정서적 불안정, 행동 문제, 정서 장애, 행동 일탈, 정서 불안정
태동의 위치 이상: 태아 위치 문제, 태아 위치 이상, 태아 위치 변동, 비정상적 태동 위치, 태동 위치 변화
수면장애: 불면증, 잠 문제, 수면 문제, 수면 곤란, 잠 장애
저작장애: 씹기 어려움, 씹기 문제, 저작 불편감, 씹기 장애, 저작 문제
경직: 근육 경직, 몸이 굳음, 경직 상태, 근육 뻣뻣함, 몸의 경직
무감각: 감각 상실, 느낌 없음, 감각 둔함, 무감각 상태, 감각 저하
손상 부위 출혈: 상처 출혈, 손상 부위 피, 손상 부위의 출혈, 상처의 피, 손상 부위 혈액
심음 감소: 심장 소리 약해짐, 심장음 저하, 심박 소리 감소, 심장 소리 감소, 심음 약해짐
떨림(진전): 몸 떨림, 손 떨림, 떨림 증상, 진전 상태, 근육 떨림
사지의 창백한 현상: 팔 다리 창백, 사지 색 변화, 창백한 사지, 사지 혈색 감소, 사지 창백
산만함: 집중력 저하, 주의 산만, 주의력 문제, 산만 증상, 집중 안됨
탁한 소변: 뿌연 소변, 흐린 소변, 탁해진 소변, 소변 탁함, 흐려진 소변
결막염: 눈 염증, 결막 염증, 눈의 결막염, 결막의 염증, 눈 결막 질환
배꼽의 고름 및 피: 배꼽의 고름, 배꼽 피, 배꼽 염증, 배꼽 고름 증상, 배꼽의 피
근육통: 근육 아픔, 근육통증, 근육의 통증, 아픈 근육, 근육 불편감
무균성 뇌막염: 비감염성 뇌막염, 무균 뇌막염, 비세균성 뇌막염, 무균성 염증, 비감염성 염증
손목에 심한 붓기와 통증: 손목 붓기, 손목 통증, 손목 부종, 아픈 손목, 손목 부음
괴사: 조직 죽음, 조직 괴사, 세포 괴사, 조직 손상, 세포 죽음
우유부단함: 결단력 부족, 망설임, 결단력 없음, 우유부단한 상태, 결단 못함
골절: 뼈 부러짐, 뼈 골절, 골절 상태, 부러진 뼈, 골절 증상
기운없음: 무기력, 피곤함, 에너지 부족, 무력감, 힘 없음
발음 이상: 말하기 문제, 발음 문제, 말 더듬, 발음 장애, 발음 불편
질의 건조함: 질 건조증, 질 건조, 건조한 질, 질의 불편감, 질의 건조 증상
손의 통증: 손 아픔, 손 통증, 손이 아파요, 손 불편함, 손 쑤심
고정된 믿음: 고집, 신념 고수, 믿음 고정, 견고한 신념, 바뀌지 않는 생각
고환 위축: 고환 작아짐, 고환 크기 감소, 고환 축소, 고환 위축 증상, 고환 크기 저하
질투: 시기, 질투심, 부러움, 질투하는 마음, 질투감
복벽이 움푹 들어감: 배 벽 꺼짐, 복부 움푹, 배가 꺼짐, 배가 들어감, 복부 함몰
코의 기형 동반: 코 변형, 코 기형, 코 모양 이상, 코 형태 변형, 비정상적 코 모양
오후 우울감 완화: 오후 우울감 감소, 오후 기분 나아짐, 오후 우울 덜함, 오후 우울증 완화, 오후 기분 좋아짐
다른 선천성 기형: 다른 선천적 결함, 다른 선천적 이상, 다른 선천성 이상, 추가 선천성 기형, 추가 선천적 문제
청색증: 피부 파래짐, 청색 반점, 혈액 산소 부족, 청색 피부, 산소 결핍 증상
심부전: 심장 기능 저하, 심장 기능 상실, 심장 기능 부전, 심장 문제, 심장 기능 장애
다음: 갈증, 목마름, 물 마시고 싶음, 갈증 증가, 갈증 심함
손마디가 뻣뻣해짐: 손가락 경직, 손가락 뻣뻣함, 손가락 굳음, 손가락 움직임 어려움, 손가락 경직증
치아 통증: 치통, 이 아픔, 치아의 아픔, 이 통증, 치아 불편감
울혈성 심부전: 심장 울혈, 심장 울혈증, 심부전 울혈, 심장 울혈 상태, 울혈성 심장 기능 저하
온몸의 잔털: 체모 증가, 몸에 잔털, 잔털 많이 남, 잔털 증식, 잔털 발생
환부 부종: 부은 상처, 부은 부위, 붓기, 상처 부위 부종, 부은 환부
주변시야손상: 측면 시야 손실, 옆 시야 손상, 주변 시야 문제, 옆 시야 감소, 측면 시야 감소
불규칙적 진통: 간헐적 진통, 불규칙한 아픔, 간헐적 고통, 비정기적 진통, 가끔씩 아픔
수유 곤란: 젖먹이기 어려움, 수유 문제, 젖 주기 어려움, 수유 장애, 수유 불편
난청: 청력 저하, 귀 안들림, 소리 안들림, 청력 상실, 귀먹음
악취: 나쁜 냄새, 고약한 냄새, 냄새 문제, 불쾌한 냄새, 악취 발생
신장 감소: 콩팥 크기 감소, 신장 작아짐, 신장 축소, 신장 크기 줄어듦, 신장 기능 저하
원한: 분노, 복수심, 미움, 악감정, 앙심
불면증: 잠 못 잠, 수면 장애, 잠 문제, 밤에 못 잠, 잠 부족
마찰음: 삐걱 소리, 긁히는 소리, 비비는 소리, 스치는 소리, 마찰 소리
탈장 부위의 통증: 탈장 부위 아픔, 탈장 부위 불편감, 탈장 부위 통증, 탈장 부위 쑤심, 탈장 부위 아려움
아래 눈꺼풀이 불룩함: 아래 눈꺼풀 부음, 아래 눈꺼풀 부풀어오름, 눈밑 붓기, 눈밑 불룩함, 아래 눈꺼풀 붓기
중이염소견: 귀 염증, 중이염 증상, 귀 염증 증상, 중이염 진단, 귀 안쪽 염증
단백뇨: 소변에 단백질, 단백질 소변, 소변 내 단백질, 단백질이 섞인 소변, 단백뇨 증상
파행: 절뚝거림, 비정상적 걸음걸이, 다리 절음, 걷기 어려움, 파행 증상
시야장애: 시야 흐림, 시야 문제, 시력 장애, 시야 손실, 시각 장애
척추 측만: 척추 휘어짐, 척추 만곡, 척추 기형, 척추 곡선, 척추 옆으로 휘어짐
배뇨곤란: 소변 보기 어려움, 배뇨 문제, 소변 곤란, 소변 장애, 배뇨 장애
배변습관의 변화: 변비, 설사, 배변 패턴 변화, 배변 문제, 장운동 변화
생식기 궤양: 생식기 상처, 생식기 염증, 생식기 헐음, 성기 궤양, 성기 염증
성대 이상: 목소리 문제, 성대 문제, 목소리 변화, 성대 염증, 성대 손상
궤양: 상처, 헐음, 염증, 궤양증, 상처 부위
소변이 샘: 소변 누출, 소변 새기, 요실금, 소변 새는 증상, 요누출
눈운동신경마비: 눈 근육 마비, 눈 움직임 장애, 눈운동 문제, 안구 운동 마비, 눈 신경 마비
양반다리로 앉기힘듬: 양반다리 어려움, 다리 꼬기 힘듦, 다리 접기 어려움, 양반다리 불편, 다리 꼬기 문제
잦은 딸꾹질: 빈번한 딸꾹질, 자주 나는 딸꾹질, 반복적인 딸꾹질, 계속되는 딸꾹질, 딸꾹질 빈번
저산소증: 산소 부족, 저산소 상태, 산소 결핍, 산소 결핍증, 저산소 현상
여드름: 피부 트러블, 뾰루지, 얼굴 여드름, 피부 발진, 얼굴 트러블
신생아의 기형: 아기 기형, 신생아 결함, 신생아 이상, 아기 선천적 문제, 신생아의 선천성 기형
요도 불쾌감: 요도 불편함, 요도 문제, 요도 불편감, 요도 통증, 요도 이물감
고혈압: 혈압 상승, 높은 혈압, 혈압 문제, 고혈압 증상, 혈압 증가
조급증: 성급함, 초조함, 급한 성격, 조급한 마음, 조급한 상태
공복감: 배고픔, 허기, 공복 상태, 배고픈 느낌, 허기짐
말단비대: 손발 커짐, 말단 비대증, 손발 비대, 손발 비대증, 말단 부위 커짐
질은 없거나 짧은 맹관: 질 결손, 짧은 질, 질 부재, 질 짧음, 질 기형
무욕증: 욕구 상실, 무기력, 동기 부여 없음, 의욕 상실, 무관심
발기부전: 발기 문제, 발기 장애, 발기 안됨, 발기 어려움, 발기 불능
생리량 감소: 적은 생리량, 월경량 감소, 생리 줄어듦, 월경량 줄어듦, 생리 적음
피부염증: 피부 염증, 피부 트러블, 피부 발진, 피부 문제, 피부염
양수의 감소: 양수 줄어듦, 양수 부족, 양수 감소, 양수량 감소, 양수 적음
태반의 조기 박리: 태반 조기 분리, 태반 박리, 태반 문제, 태반 분리, 조기 태반 박리
안쪽 발이 튀어 나옴: 내반족, 안쪽 발 돌출, 발 내반증, 발 안쪽 문제, 내반족 증상
뼈의 변형: 뼈 기형, 뼈 문제, 뼈 모양 이상, 뼈 변형 증상, 뼈의 이상
안구건조: 눈 마름, 건조한 눈, 눈 건조증, 안구 건조증, 눈의 건조
습관성 유산: 반복 유산, 자주 유산, 재발성 유산, 계속되는 유산, 유산 반복
색맹: 색 인식 문제, 색상 구분 어려움, 색 구별 못함, 색맹증, 색 구분 장애
회음부의 파열: 회음부 손상, 회음부 찢어짐, 회음부 파열 증상, 회음부의 상처, 회음부 파열 상태
재채기: 재채기 증상, 재채기 발작, 자주 나는 재채기, 연속 재채기, 갑작스러운 재채기
고혈당: 높은 혈당, 혈당 상승, 혈당 문제, 혈당 증가, 당 수치 증가
월경과다: 생리량 많음, 많은 월경량, 과다 월경, 생리 많이 나옴, 월경 과다증
각질이 딱딱해짐: 딱딱한 각질, 두꺼운 각질, 각질 경화, 피부 딱딱해짐, 피부 각질 문제
치아 벌어짐: 치아 간격, 벌어진 치아, 치아 틈, 치아 사이, 치아 간격 벌어짐
분뇨: 대변, 변, 분뇨 증상, 배설물, 배변 문제
위염: 위 염증, 위의 염증, 위염 증상, 위 문제, 위장 염증
위장관 출혈: 위 출혈, 장 출혈, 위장관 내 출혈, 위장 출혈, 위장관의 출혈
자율신경장애: 자율신경 문제, 자율신경계 이상, 자율신경계 문제, 자율신경계 장애, 자율신경 이상
함몰가슴: 가슴 함몰, 가슴 들어감, 흉부 함몰, 가슴 뼈 들어감, 흉곽 함몰
복부비만: 뱃살, 복부 지방, 뱃살 증가, 복부 비대, 복부 비만증
피부 건조: 마른 피부, 피부 건조증, 건조한 피부, 피부 건조 문제, 피부 건조 상태
무논리증: 비논리적 사고, 논리 결여, 비논리적 생각, 무논리 상태, 논리 없는 사고
사마귀 위 털이 많음: 사마귀 털, 털이 많은 사마귀, 사마귀의 털, 사마귀 위의 털, 사마귀와 털
미란: 피부 벗겨짐, 피부 손상, 피부 미란, 피부 까짐, 미란 증상
애착 상대와 분리 거부: 분리 불안, 분리 거부증, 애착 대상 분리 거부, 분리 불안증, 애착 대상과의 분리 문제
위험한 행동 반복: 반복적 위험 행동, 위험 행위, 위험한 행동, 위험 행동 증상, 위험 행동 반복 문제
물집성 표피 박리: 물집 박리, 표피 벗겨짐, 물집성 피부, 물집 생김, 피부 물집
귀 상부가 두피에 매몰됨: 귀 상부 매몰, 귀 윗부분 매몰, 귀 윗부분 함몰, 매몰된 귀, 함몰된 귀
피부궤양: 피부 상처, 피부 궤양, 피부 염증, 피부 헐음, 피부 손상
우울: 우울감, 우울증, 기분 저하, 기분 침체, 우울 상태
심혈관계 증상: 심장 문제, 심혈관 문제, 심혈관 증상, 혈관 문제, 심혈관 질환
관절 불안정증: 불안정한 관절, 관절 문제, 관절 불안정 상태, 관절 불안정 증상, 관절 움직임 문제
신경과민: 과민성, 예민함, 신경 예민, 과민 반응, 신경 과민 상태
발끝으로 설 수 없음: 발끝 못 섬, 발끝 서기 어려움, 발끝 서기 문제, 발끝 서기 불가, 발끝 서기 장애
초록색 구토: 녹색 구토, 초록빛 토, 녹색 토사물, 녹색 구토물, 초록 토
백혈구 증가: 높은 백혈구 수치, 백혈구 수치 증가, 백혈구 과다, 백혈구 증가증, 백혈구 많음
만성 신부전: 신장 기능 저하, 만성 신장 문제, 신부전증, 만성 신장 질환, 신장 기능 상실
환부 통증: 상처 부위 통증, 상처 아픔, 환부의 아픔, 상처 부위 아픔, 환부 불편감
안면부 출혈: 얼굴 출혈, 얼굴 피, 얼굴 부위 출혈, 얼굴의 피, 안면 출혈
덩어리가 만져짐: 만져지는 덩어리, 만져지는 혹, 덩어리 감지, 덩어리 존재, 혹 만져짐
생식기 부종: 성기 부종, 생식기 붓기, 생식기 부음, 성기 붓기, 생식기 부종증
침 분비 증가: 침 많이 남, 침 분비 과다, 침이 많이 나옴, 침 분비 많음, 침 흐름
반사 이상: 반사 문제, 반사 장애, 반사 작용 문제, 반사 작용 이상, 반사 장애 증상
초조함: 긴장감, 불안감, 불안, 신경질, 초조 상태
접촉도착증: 접촉 문제, 비정상적 접촉, 접촉 장애, 접촉 집착, 접촉 도착
안면통: 얼굴 통증, 안면 아픔, 얼굴의 아픔, 얼굴 불편감, 안면부 통증
청각과민: 예민한 청각, 소리 예민함, 청각 과민 상태, 청각 민감증, 소리 민감함
뇌염증상: 뇌염 증상, 뇌 염증 증상, 뇌염 징후, 뇌 염증, 뇌염 문제
비정상적 성적 기호: 비정상적 성적 취향, 이상한 성적 취향, 비정상 성적 선호, 비정상 성적 성향, 성적 기호 문제
목의 통증: 목 아픔, 목의 불편감, 목 통증, 목이 쑤심, 목 불편함
인설: 비듬, 피부 비듬, 각질, 각질 비듬, 피부 인설
대화에 불쑥 끼어듬: 불쑥 끼어들기, 대화 방해, 대화 끼어듦, 말 끼어듦, 대화 중단
신생아의 정신 장애: 아기 정신 문제, 신생아 정신 문제, 아기 정신 장애, 신생아 정신 이상, 신생아 정신 건강 문제
낮은 학업 성취: 학업 성취 저하, 학업 성적 낮음, 학습 성취 저하, 낮은 학습 성취, 학업 성적 저조
구내염: 입안 염증, 구강 염증, 입 염증, 구내 염증, 입속 염증
팔의 길이가 달라짐: 팔 길이 차이, 다른 팔 길이, 팔 길이 불균형, 길이가 다른 팔, 팔의 불균형
근육긴장: 근육 경직, 근육 뭉침, 근육 긴장 상태, 근육 긴장도, 뭉친 근육
피해망상: 피해 의식, 피해 상상, 피해 망상증, 피해 정신, 피해망상 상태
볼이 처짐: 처진 볼, 볼의 처짐, 볼 살 처짐, 처진 뺨, 볼 처짐 상태
토혈: 피 토함, 피 섞인 토, 피가 섞인 구토, 피가 나오는 구토, 피를 토함
대변에 벌레 관찰됨: 변에 벌레, 대변 벌레, 변에서 벌레 발견, 대변 속 벌레, 변에 보이는 벌레
의심: 의혹, 의문, 불신, 의구심, 확신 없음
검은색 가래: 흑색 가래, 검은 가래, 어두운 가래, 진한 색 가래, 검은색 점액
피부가 두꺼워짐: 두꺼운 피부, 피부 두꺼움, 피부 경화, 피부 두꺼워짐 증상, 두꺼워진 피부
방광 팽만: 팽창된 방광, 방광 부풀어오름, 방광 팽창, 부풀어 오른 방광, 방광 팽만 증상
십이지장궤양: 위궤양, 소장 궤양, 소화기 궤양, 장의 궤양, 소화관 궤양
청력장애: 귀먹음, 소리 못 들음, 청각 문제, 청력 손실, 귀 안들림
후각장애: 냄새 못 맡음, 후각 손실, 후각 문제, 냄새 감각 문제, 후각 상실
잦은 상기도 감염: 빈번한 감기, 자주 걸리는 감염, 상기도 문제, 잦은 감염, 상기도 염증
고환에 낭이 만져짐: 고환 혹, 고환 결절, 고환 부기, 고환 덩어리, 고환에 혹
피부 각질: 각질층, 피부 거칠어짐, 건조한 피부, 피부 각질화, 피부 비듬
상지 마비: 팔 마비, 팔 움직임 불가, 상체 마비, 상지 불편, 팔의 무감각
작열감: 화끈거림, 타는 느낌, 뜨거운 감각, 불타는 느낌, 작열감 증상
보행이상: 걷기 어려움, 비정상적 걸음걸이, 보행 문제, 걷는 데 문제, 보행 장애
피부균열: 갈라진 피부, 피부 틈, 피부 균열, 피부 갈라짐, 건조로 인한 균열
혈전증: 혈전 형성, 혈전 발생, 혈액 응고, 혈관 막힘, 혈전 문제
사시: 눈 돌림, 사팔뜨기, 눈 비대칭, 눈 초점 불일치, 시선 비정상
항문주위 염증: 항문 염증, 항문 부기, 항문 주변 염증, 항문 부위 염증, 항문 주위 부종
손상부위 촉각 소실: 손상 부위 무감각, 손상된 부분 감각 소실, 상처 부위 무감각, 상처 부위 감각 소실, 손상된 부위 감각 문제
달걀 위에 앉아있는 느낌: 둥근 느낌, 둥글게 앉은 느낌, 안락함, 달걀 모양 앉기, 편안한 자세
호기의 증가: 숨내뿜기 증가, 호흡 증가, 날숨 증가, 호기량 증가, 호흡량 증가
저혈량 쇼크: 혈액 부족 쇼크, 저혈압 쇼크, 쇼크 상태, 혈액 감소 쇼크, 저혈량 상태
활력징후 이상: 비정상적인 활력징후, 활력 신호 문제, 활력 지표 이상, 생명 징후 이상, 비정상적인 생체 신호
관음증: 엿보기 성향, 몰래 보기, 성적 호기심, 관음 성향, 관음 행위
인지장애: 인식 문제, 인지 문제, 지각 장애, 인지 기능 저하, 인지력 감소
발한: 땀흘림, 땀 분비, 땀 많이 남, 과다 발한, 땀 증가
경부 강직: 목 경직, 목 뻣뻣함, 목 굳음, 목 움직임 불가, 목의 경직 상태
뿔 모양의 병변: 돌출 병변, 뿔 모양 혹, 뿔 형태 상처, 돌기 병변, 뿔 모양 상처
안구내 출혈: 눈 출혈, 안구 출혈, 눈 속 출혈, 안쪽 눈 출혈, 눈 혈관 출혈
높아진 자존심: 자존감 상승, 자신감 과잉, 자만심, 높은 자부심, 자존심 과잉
유방의 멍울: 유방 혹, 유방 결절, 유방 덩어리, 유방의 혹, 유방 부기
점 안에 다른 색 피부: 이색 점, 잡색 점, 다른 색의 점, 색 변형 점, 색 변화 점
소변을 볼 수 없음: 배뇨 불가, 소변 안 나옴, 배뇨 장애, 소변 막힘, 배뇨 문제
자살의 위험: 자살 가능성, 자살 충동, 자살 시도 위험, 자해 위험, 자살 생각
거품이 섞인 가래: 거품 가래, 거품 있는 가래, 거품 섞인 점액, 거품 기침, 거품 있는 점액
불안: 걱정, 초조, 불안감, 긴장, 불안 상태
동정맥루 잡음 약화: 동정맥루 소리 감소, 동정맥루 소리 약함, 동정맥루 잡음 저하, 혈관 잡음 약화, 동정맥루 소리 문제
얼굴에 털이 자람: 얼굴 털, 얼굴 털 성장, 얼굴에 난 털, 얼굴에 나는 털, 얼굴 털 문제
팔의 통증: 팔 아픔, 팔 불편감, 팔 통증, 팔의 쑤심, 팔의 아픔
이마의 주름: 이마 주름살, 이마의 주름, 주름진 이마, 주름 생긴 이마, 이마 주름 문제
잇몸 위축: 잇몸 퇴축, 잇몸 감소, 잇몸 후퇴, 잇몸 줄어듦, 잇몸 문제
탈장: 탈출증, 장기 탈출, 장기 돌출, 탈장 증상, 장기 문제
담도감염: 담관 염증, 담관 감염, 담도 염증, 담도 질환, 담관 문제
뇌출혈: 뇌 속 출혈, 두개 내 출혈, 뇌혈관 출혈, 뇌 내부 출혈, 뇌출혈 증상
강박증: 강박 장애, 집착 증상, 강박 행동, 강박 성향, 강박 문제
당뇨: 당뇨병, 고혈당증, 혈당 문제, 당뇨 증상, 당 수치 증가
근육의 뒤틀림: 근육 경련, 근육 이상, 근육 비틀림, 근육 문제, 근육 경련 증상
요정체: 소변 정체, 요 배출 문제, 소변 막힘, 요 정체 증상, 소변 배출 장애
코의 모공이 커짐: 커진 코 모공, 확장된 코 모공, 코 모공 문제, 큰 코 모공, 넓은 코 모공
눈 감을 때 번쩍거림: 눈 감을 때 빛, 눈 감을 때 반짝임, 눈 감으면 빛, 눈 감을 때 섬광, 눈 감을 때 빛남
흡수장애: 소화 흡수 문제, 흡수 기능 장애, 영양 흡수 문제, 소화 흡수 장애, 영양 섭취 문제
발작적인 울음: 갑작스런 울음, 울음 발작, 울음 증상, 계속되는 울음, 발작성 울음
안구진탕: 눈 떨림, 안구 떨림, 눈 진동, 안구 흔들림, 눈의 떨림
안면마비: 얼굴 마비, 얼굴 신경 마비, 안면 신경 마비, 얼굴 움직임 불가, 안면 근육 마비
오한: 추위 느낌, 몸의 한기, 한기 증상, 추운 느낌, 몸의 오한
종양부위 부종: 종양 부기, 종양 주변 부종, 종양 부위 부기, 종양 부위 붓기, 종양 부위 부풀어오름
손떨림: 손의 떨림, 손 진전, 손의 진동, 떨리는 손, 손의 떨림 증상
운동장애: 운동 문제, 운동 기능 장애, 움직임 문제, 운동 능력 저하, 운동 장애 증상
손가락의 변형: 변형된 손가락, 비정상 손가락, 구부러진 손가락, 손가락 모양 이상, 손가락 기형
치근단 부위 부종: 치근 부기, 치아 뿌리 부기, 치근 부종, 치아 뿌리 부종, 치아 뿌리 붓기
얼굴부종: 얼굴 부기, 얼굴 붓기, 얼굴의 부종, 얼굴 부풀어오름, 얼굴 붓기 증상
치아가 솟은 느낌: 치아 돌출, 치아 튀어나옴, 치아 융기, 솟은 치아, 치아 돌출 증상
심방 부정맥: 심장 부정맥, 불규칙한 심박, 심장 리듬 문제, 심장 박동 장애, 심방 리듬 문제
고름: 농, 화농, 염증 고름, 농액, 고름 분비
복시: 이중 시야, 겹쳐 보임, 두 개로 보임, 시야 중복, 복시 증상
안면 변형: 얼굴 기형, 얼굴 변화, 얼굴 왜곡, 비정상적 얼굴, 얼굴 형태 변형
치매: 기억 상실, 인지 장애, 치매 증상, 기억력 문제, 인지 기능 저하
비문증: 눈앞의 점, 눈의 부유물, 시야 내 점, 부유 물질, 비문 증상
반상출혈: 피부 출혈, 출혈 반점, 피부 반점, 작은 출혈, 출혈 점
딸기혀: 빨간 혀, 붉은 혀, 딸기 모양 혀, 딸기 색 혀, 혀 발진
약물남용: 약물 오용, 약물 의존, 약물 중독, 약물 남용 증상, 약물 문제
X자 다리: 내반슬, 휜 다리, X형 다리, 다리 변형, 다리 문제
사회적 고립: 외톨이, 혼자 있음, 사회적 단절, 고립된 상태, 사람들과 단절
임신 오조증: 심한 입덧, 임신 중 구토, 임신 중 메스꺼움, 임신 중 구역질, 임신 초기 증상
탯줄의 압박: 탯줄 눌림, 탯줄 얽힘, 탯줄 문제, 태아 탯줄 압박, 탯줄 꼬임
발가락 사이 갈라짐: 발가락 틈, 발가락 갈라짐, 발가락 사이 틈새, 발가락 벌어짐, 발가락 간격
하얀 반점: 피부의 백반, 흰 반점, 백색 반점, 피부 하얀 점, 백반증
장액성 분비물: 맑은 분비물, 물 같은 분비물, 장액 분비, 액체 분비물, 투명한 분비물
요통: 허리 통증, 등 아픔, 허리 아픔, 등 통증, 허리 불편함
피학증: 자해 성향, 자학 성향, 스스로 상처냄, 자해 욕구, 피학적 행동
폐기능저하: 폐 기능 약화, 폐 능력 감소, 호흡 곤란, 폐활량 저하, 폐 문제
위의 연동운동이 보임: 위 연동 운동, 위의 움직임, 위 운동 보임, 위가 움직임, 위 연동 작용
혈뇨: 소변에 피, 피 섞인 소변, 붉은 소변, 혈액 소변, 피가 나오는 소변
대비감 감소: 대비 약화, 대비감 소실, 대비감 저하, 눈 대비감 감소, 대비 인식 문제
다발성 관절염: 여러 관절염, 다발 관절염, 여러 관절 통증, 관절염 증상, 관절 염증
커지지 않는 자궁: 자궁 발달 문제, 작은 자궁, 자궁 크기 문제, 자궁 성장 부진, 자궁 성장 저하
보챔: 짜증, 투정, 칭얼거림, 불편함, 계속되는 보챔
잔뇨감: 소변 남음, 배뇨 후 잔뇨, 남은 소변, 소변 끝나지 않음, 잔뇨 증상
골반 통증: 골반 아픔, 골반 불편감, 골반 통증 증상, 골반 쑤심, 골반의 아픔
비정상적 질 분비물: 이상한 질 분비물, 비정상 질액, 질 분비 문제, 질액 변화, 질 분비물 이상
음경이 휘어짐: 음경 굽음, 음경 기형, 음경 모양 문제, 휜 음경, 굽은 성기
어깨의 통증: 어깨 아픔, 어깨 불편감, 어깨 통증 증상, 어깨 쑤심, 어깨의 아픔
회색변: 회색 대변, 회색 똥, 색이 변한 대변, 회색 변, 회색 변색
하지부종: 다리 부기, 다리 붓기, 다리 부종, 하지의 부기, 붓는 다리
위장관의 허혈: 장기 허혈, 위장 허혈, 위장관 혈류 부족, 소화기관 허혈, 장기의 혈액 부족
근육마비: 근육 움직임 불가, 근육 기능 상실, 근육 마비 상태, 근육 통제 불가, 근육 마비 증상
비현실감: 현실감 상실, 비현실 느낌, 비현실적 감각, 비현실적 상태, 현실감 저하
근육경련: 근육 떨림, 근육 경직, 근육 발작, 근육 수축, 근육의 경련
유방의 퇴행: 유방 위축, 유방 크기 감소, 유방 기능 저하, 유방의 변화, 유방 쇠퇴
구강궤양: 입안 궤양, 구강 염증, 입 안 상처, 구강의 궤양, 입 안 염증
발의 통증: 발 아픔, 발 불편감, 발 통증, 발 쑤심, 발의 아픔
요로감염: 요도 염증, 방광염, 요로 질환, 소변 감염, 요도 문제
관절통: 관절 아픔, 관절 불편감, 관절 통증, 관절의 아픔, 관절 쑤심
거인증: 신체 거대증, 몸 거대화, 거대화 증상, 거대한 신체, 거대화 현상
편두통: 심한 두통, 한쪽 두통, 편측 두통, 두통 발작, 편측성 두통
직무 태만: 직무 불이행, 직무 소홀, 업무 태만, 업무 소홀, 직무 게을리 함
산혈증: 산증, 혈액 산성화, 혈액의 산성, 산성화된 혈액, 산성 혈액
검은 점: 피부 검은 점, 검정 반점, 피부의 검은 점, 어두운 반점, 검은색 반점
심잡음: 심장 소음, 심장 잡음, 비정상적 심장 소리, 심장 소리 문제, 심장 소리 이상
