질환명,증상,관련질환,진료과목,코드
다운 증후군 ,"안면 변형, 심혈관계 증상, 납작한 코, 축 쳐진 귀","에드워드 증후군, 파타우 증후군","소아청소년심장과, 소아내분비대사과, 소아재활의학과",32352
다태아,오심,"이상 태위, 전치 태반, 태반 조기 박리, 자간전증, 자간증",산부인과,31834
단독,"오한, 열감, 림프 부종, 발진, 환부 통증","접촉 피부염, 혈관부종","가정의학과, 피부과",32296
단세포군감마글로불린병증,"거품있는 소변, 단백뇨","자가면역 질환, 다발골수종","종양내과, 혈액내과",31783
단순 포진,"소양감, 작열감, 물집","단순 포진성 뇌염, 헤르페스 바이러스 감염, 대상포진",피부과,33912
단순 포진성 뇌염,"열, 뇌전증 발작, 두통, 언어장애, 의식 변화","헤르페스 바이러스 감염, 대상포진, 바이러스성 뇌수막염, 박테리아성 뇌수막염, 대상포진 후 신경통, 뇌염, 구순포진","감염내과, 신경과",32838
단심실,"청색증, 무산소 발작, 심부전","방실 중격 결손, 선천성 심장 질환, 온전한 심실 중격을 가진 폐동맥 폐쇄, 심실 중격 결손, 대혈관 전위","소아청소년심장과, 신생아과, 소아심장외과, 선천성심장병센터",31648
단일 제대 동맥,"다른 선천성 기형, 태아, 신생아의 기형, 태아 저체중","제대 탈장, 선천성 기형, 유산, 조산, 당뇨병",산부인과,33617
단장 증후군,"복부 통증, 설사, 지방변, 빈혈, 체중감소","선천성 소장 결손, 폐쇄 및 협착, 십이지장 궤양, 소장의 혈관 장애, 위장관 출혈, 구루병",소화기내과,32109
담관암,"피부소양감, 진한 소변색, 황달, 회색변, 체중감소","경화성 담관염, 궤양성 대장염, 담석, 총담관 담석, 간디스토마","소화기내과, 종양내과, 방사선종양학과, 간담도췌외과, 간이식ㆍ간담도외과",30460
담낭 선근종증,"산통, 복부 통증","만성 담낭염, 급성 담낭염, 담석, 담낭 용종, 담낭암","소화기내과, 간담도췌외과, 간이식ㆍ간담도외과",33475
담낭 용종,복부 통증,"만성 담낭염, 담관암, 급성 담낭염, 담낭암, 담석","소화기내과, 간담도췌외과, 간이식ㆍ간담도외과",30477
담낭암,"오심, 복부 통증, 황달, 구토, 식욕부진, 체중감소","총담관 담석, 담석, 석회화 담낭, 궤양성 대장염","소화기내과, 종양내과, 방사선종양학과, 간담도췌외과, 간이식ㆍ간담도외과",30462
담석,"오심, 구토, 황달, 오한, 소화불량, 복부 통증, 열","담낭암, 간내 담석, 경화성 담관염, 총담관 담석, 담낭 용종, 담관암","소화기내과, 간담도췌외과, 간이식ㆍ간담도외과",30478
당뇨망막병증,"시력 감소, 황반부종, 비문증, 광시증, 시야장애, 사물이 찌그러져 보임","인슐린 의존성 당뇨병, 인슐린 비의존성 당뇨병, 유리체 출혈, 당뇨망막병증, 망막 박리",안과,31182
당뇨병,"고혈당, 소양감, 체중감소, 피로감, 다식, 다뇨, 저림, 다음, 시야장애","인슐린 의존성 당뇨병, 인슐린 비의존성 당뇨병, 당뇨망막병증, 당뇨병성 말초신경병증, 비만, 임신성 당뇨병, 당뇨병성 족부 질환","가정의학과, 내분비내과, 노년내과, 신ㆍ췌장이식외과",31596
당뇨병성 말초신경병증,"무감각, 손 발 감각 저하, 저림, 말초 신경장애, 말초 통증","인슐린 의존성 당뇨병, 인슐린 비의존성 당뇨병, 당뇨병성 족부 질환, 당뇨병, 당뇨망막병증",내분비내과,32274
당뇨병성 족부 질환,"피부 건조, 발가락의 변형, 피부색 변화, 시림, 괴사, 저림, 감각 이상, 피부궤양","인슐린 의존성 당뇨병, 인슐린 비의존성 당뇨병, 당뇨병성 말초신경병증, 당뇨병, 당뇨망막병증","내분비내과, 성형외과, 혈관외과, 정형외과",31754
당뇨병성 케톤산증 ,"복부 통증, 의식 저하, 구강호흡, 구강건조, 다뇨, 피로감","인슐린 의존성 당뇨병, 당뇨병, 인슐린 비의존성 당뇨병",내분비내과,32613
대뇌성 거인증 ,"정신 지체, 얼굴형태의 이상, 난청","ARC 증후군, 바르덴부르크 증후군, 코넬리아드랑게 증후군, 엘러스-단로스 증후군, 연골외배엽 이형성증, 판코니범혈구감소증, 골덴하 증후군, 홀트-오람 증후군, 클리펠-트라우네이-베버 증후군, 다발성 흑자 증후군, 마르판 증후군, 누난 증후군, 루빈스타인 테이비 증후군, 러셀 실버 증후군, 트리처 콜린스 증후군, 베크위트-위드만 증후군","의학유전학센터, 의학유전학과",32412
대동맥 박리,"어깨의 통증, 복부 통증, 오심, 돌연사, 요관 폐쇄, 헛배, 구토, 실신, 저혈량 쇼크, 요통","고혈압, 마르판 증후군","심장내과, 심장병원",30449
대동맥 협착,"피로감, 가슴 통증, 운동 시 호흡곤란, 심부전, 실신","윌리암스 증후군, 승모판 협착, 울혈성 심부전, 대동맥판막 협착, 대동맥궁 단절, 급성 심근경색증","소아청소년심장과, 소아심장외과, 선천성심장병센터",31640
대동맥 협착증,"발육부전, 수유 곤란, 쇼크, 운동 시 호흡곤란, 무뇨, 혈변, 호흡곤란, 폐동맥 고혈압, 고혈압, 하지의 근력약화, 저림, 신부전","울혈성 심부전, 폐성 고혈압, 신생아 괴사성 장염, 급성 신부전, 심실 중격 결손, 고혈압","심장내과, 심장병원",31653
대동맥궁 단절,"폐동맥 고혈압, 호흡곤란, 무뇨, 심부전, 심인성 쇼크, 저심박출량, 대사성 산증, 쇼크, 보챔, 위장관의 허혈","신생아 괴사성 장염, 급성 신부전, 다운 증후군, 총동맥간증, 대혈관 전위, 양대혈관 우심실 기시증, 심실 중격 결손, 단심실, 22번 염색체 장완 미세결실 증후군, 폐성 고혈압","소아청소년심장과, 소아심장외과, 선천성심장병센터",31639
대동맥류,"복부 통증, 실신, 가슴 통증","복부 대동맥류, 흉부 대동맥류, 발살바동 동맥류 파열, 뇌동맥류, 동맥류","심장내과, 심장병원",30450
대동맥판막 기능부전,"기침, 호흡곤란, 가래, 가슴 통증, 자율신경장애","대동맥판막 협착, 심내막염, 심장 판막 질환, 대동맥 박리","심장내과, 심장병원",32140
대동맥판막 협착,"가래, 기침, 호흡곤란, 가슴 통증, 자율신경장애","류마티스 관절염, 심내막염, 심장 판막 질환, 대동맥판막 기능부전","심장내과, 심장병원",32141
대사 증후군,복부비만,"비만, 당뇨병, 고혈압",가정의학과,32084
대사성 산증,"복부경련, 권태감, 부정맥, 두통, 빈맥","당뇨병, 대동맥궁 단절, 온전한 심실 중격을 가진 폐동맥 폐쇄, 신부전, 급성 신부전, 대사성 알칼리증, 호흡성 산증, 호흡성 알칼리증, 횡문근융해증, 당뇨병성 케톤산증",소아신장과,32318
대사성 알칼리증,"근육강직, 저림, 장폐색, 근력 약화, 지남력 장애, 부정맥, 뇌전증 발작","섬망, 대사성 산증, 신부전",신장내과,32310
대상포진,"딱지, 두통, 환부 통증, 발진","대상포진 후 신경통, 구순포진, 수두, 헤르페스 바이러스 감염",피부과,31541
대상포진 후 신경통,환부 통증,대상포진,"마취통증의학과, 신경과, 신경외과, 피부과",31888
대장 용종,"혈변, 설사, 점액변, 복부 통증, 장폐색","대장염, 장폐색, 위용종, 대장암, 대장의 양성 종양",소화기내과,31689
대장균 감염,"설사, 두통, 복부 통증, 구토","식중독, 요로 감염, 바이러스성 장염, 급성 방광염",감염내과,31617
대장암,"잔변감, 흑색변, 배변습관의 변화, 복부 통증, 소화불량, 점액변, 혈변","대장 용종, 변비, 대장의 양성 종양","소화기내과, 종양내과, 방사선종양학과, 대장항문외과",30461
대장염,"설사, 점액변, 배변습관의 변화","게실 질환, 급성 충수염, 바이러스성 장염",소화기내과,32099
대장의 양성 종양,"혈변, 점액변","대장 용종, 대장염, 대장균 감염, 궤양성 대장염","소화기내과, 대장항문외과",31776
대퇴 골절,"다리변형, 환부 부종, 손상 부위 통증, 다리의 길이가 틀림","대퇴골두 무혈관성 괴사, 병리적 골절, 피로 골절, 천추골 골절, 경골과 비골 골절, 골절 후 부정 유합, 불유합, 욕창",정형외과,31564
대퇴골두 무혈관성 괴사,"양반다리로 앉기힘듬, 골반 통증",대퇴 골절,정형외과,31699
대혈관 전위,"호흡곤란, 빈맥, 청색증","심실 중격 결손, 선천성 심장 질환, 양대혈관 우심실 기시증, 울혈성 심부전","소아청소년심장과, 신생아과, 소아심장외과, 선천성심장병센터",31644
댄디워커 증후군,"근육강직, 정신 지체, 머리모양 변형, 구토, 오심, 의식 저하, 운동장애","수두증, 근육긴장이상증, 척수소뇌성 운동실조증, 보행 운동 장애, 태아 알코올 증후군, 풍진","의학유전학센터, 소아신경과",32659
덤핑 증후군,"어지러움, 빈맥, 복부팽만감, 구토, 복부 통증, 저혈당, 오심","진행성 위암, 위암, 조기 위암",소화기내과,32105
뎅기열,"열, 근육통, 발진, 두통, 반점, 식욕부진, 관절통","황열, 말라리아",감염내과,32161
독성 간염,"구토, 열, 피로감, 식욕부진, 관절통, 복부 통증, 황달, 발진, 오심","전격성 간염, 약물 발진, 약물 유발성 자가면역성 용혈성 빈혈, 간염, 자가면역성 간염",소화기내과,31690
독성 쇼크 증후군,"설사, 발진, 두통, 열, 불안, 구토","화상, 면역결핍증",응급의학과,32315
돌발성 발진,"발진, 식욕부진, 보챔, 반점",헤르페스 바이러스 감염,"소아내분비대사과, 소아소화기영양과, 소아감염과",32297
돌출귀,펴진 귓바퀴,"돌출귀, 매몰귀",성형외과,31987
동결견,"어깨의 통증, 어깨 움직임의 제한",회전근개 증후군,"정형외과, 소아정형외과",31703
동맥간증,"수유 곤란, 청색증, 발육부전, 호흡곤란","선천성 심장 질환, 폐성 고혈압","소아청소년심장과, 소아심장외과, 선천성심장병센터",31656
동맥관 개존증,"심잡음, 발육부전","폐성 고혈압, 다운 증후군, 울혈성 심부전, 선천성 심장 질환, 심내막염, 풍진","심장내과, 소아청소년심장과, 소아심장외과, 선천성심장병센터",31636
동맥류,쇼크,"죽상경화증, 복부 대동맥류, 대동맥류, 뇌동맥류, 대동맥 박리, 발살바동 동맥류 파열, 고혈압, 흉부 대동맥류","심장내과, 심장혈관흉부외과",31755
동맥색전증 및 혈전증,"말초 통증, 말초의 허혈, 저림, 괴사","급성 심근경색증, 뇌졸중, 심방 세동","심장내과, 혈관외과",31751
동상,"피부소양감, 무감각, 청색증, 창백, 물집",횡문근융해증,"가정의학과, 성형외과, 응급의학과",32080
동전모양 습진,"물집, 소양감, 환부 부종",습진,피부과,33913
동정맥루 기능부전,"동정맥루 잡음 약화, 열감, 환부 부종, 발적","신부전, 만성 신부전",혈관외과,32112
두개 안면 부조화,"수유 곤란, 입술 및 입천장의 기형, 머리모양 변형, 언어장애","구순열, 구개열, 선천성 사경, 두개 유합증, 수두증","성형외과, 치과",31765
두개 유합증,"안구돌출, 청력장애, 광대뼈 위치 이상, 머리모양 변형, 다른 선천성 기형","수두증, 구순열, 파이퍼 증후군, 크루존 증후군, 구개열","성형외과, 소아신경외과",31760
두개골 골절,"점상 출혈, 두통","안와 골절, 자발성 두개강 내 출혈, 외상성 경막하 출혈, 외상에 의한 뇌 손상, 외상에 의한 고막 천공, 안면 골절","성형외과, 신경외과, 정형외과",33567
두드러기,"두드러기, 발진, 피부소양감","간찰성 홍반, 소양증, 어린선, 아토피성 피부염, 약물 발진, 접촉 피부염, 돌발성 발진, 탈락 피부염, 봉와직염, 지루성 피부염, 기저귀 피부염, 피부염","피부과, 알레르기내과",31797
두부 백선,"체모감소, 피부소양감, 피부 각질","비듬, 무좀, 탈모증, 곰팡이 감염",피부과,32778
두통,"압통, 눈이 무거운 느낌, 뇌압상승증상, 박동성 통증","뇌종양, 양성 뇌종양, 자발성 두개강 내 출혈, 급성 A형 간염, 바이러스성 뇌수막염, 박테리아성 뇌수막염, 미세혈관병용혈빈혈, 새집 증후군, 군발성 두통 증후군, 편두통, 근육 긴장성 두통, 외상성 경막하 출혈, 지주막하 출혈, 급성 B형 간염, 급성 C형 간염, 말단비대증, 호흡성 산증, 독성 쇼크 증후군, 대사성 산증, 일본 뇌염, 뇌염, 뎅기열, 넬슨 증후군","노년내과, 신경과, 신경외과, 소아신경과",31852
듀시엔형 근이영양증 ,운동장애,"척수근육위축, 베커형 근이영양증","소아청소년심장과, 의학유전학센터, 소아내분비대사과, 소아신경과, 의학유전학과",32353
듀피트렌 구축,"덩어리가 만져짐, 손가락 운동장애","뇌전증, 알코올 의존성, 당뇨병","성형외과, 정형외과",31738
디프테리아,"콧물, 목의 통증, 기침, 열, 기운없음, 빈맥",해외여행 시 주의사항,감염내과,31597
딸기코,"코의 모공이 커짐, 피부염증",안면 홍조증,피부과,32490
땀띠,"발진, 물집",국소 다한증,피부과,32476
"떨림, 진전","온몸이 떨림, 손떨림, 떨림(진전)","파킨슨병, 근육긴장이상증, 이차성 파킨슨증, 비정형 파킨슨 증후군",신경과,31993
뚜렛 증후군,"이상한 소리를 냄, 비정상적인 움직임",틱 장애,"정신건강의학과, 소아정신건강의학과",32844
라싸열,"뇌염증상, 구토, 단백뇨, 결막염, 청력장애, 가슴 통증, 열, 얼굴부종, 근육통","출혈성 결막염, 에볼라 출혈열","감염내과, 어린이병원",33614
라이 증후군,"구토, 혼수, 환각, 기민상태, 흥분","상기도 감염, 인플루엔자, 수두",어린이병원,32032
라임병,"오한, 근육통, 피로감, 관절통, 두통, 안구혼탁, 수면장애, 발진, 열",관절염,"감염내과, 피부과",31664
랑거한스세포 조직구증식증,"설사, 열, 황달, 발진, 복수",헤르페스 바이러스 감염,"소아청소년종양혈액과, 정형외과",32457
러셀 실버 증후군 ,"얼굴형태의 이상, 저혈당, 근긴장의 이상, 4 5번째 손가락 굽음, 저체중","베크위트-위드만 증후군, ARC 증후군, 바르덴부르크 증후군, 트리처 콜린스 증후군, 대뇌성 거인증, 루빈스타인 테이비 증후군, 코넬리아드랑게 증후군, 엘러스-단로스 증후군, 연골외배엽 이형성증, 판코니범혈구감소증, 골덴하 증후군, 홀트-오람 증후군, 클리펠-트라우네이-베버 증후군, 다발성 흑자 증후군, 마르판 증후군, 누난 증후군","의학유전학센터, 소아내분비대사과, 의학유전학과",32408
레이노병,"궤양, 말초 통증, 사지의 창백한 현상, 청색증, 저림, 손의 통증","전신 홍반성 낭창, 수족냉증, 전신 경화증, 류마티스 관절염",류마티스내과,32156
레지오넬라증,"두통, 목의 통증, 구토, 권태감, 근육통, 설사, 기침, 오심, 열, 콧물, 오한","부비동염, 폐렴간균에 의한 폐렴, 흡인성 폐렴, 만성 신우신염, 폐렴, 급성 신우신염, 지역사회성 폐렴, 병원 감염성 폐렴, 신부전, 상기도 감염, 급성 신부전, 만성 신부전, 인플루엔자, 저혈압, 폐 농양",감염내과,33891
레트 증후군 ,"인지장애, 운동장애, 정신 지체, 상동적 행동","결절성 경화증, 신경섬유종, 모세혈관 확장성 운동실조 증후군, 로우 증후군, 피질하 경색과 백질뇌증을 동반하는 상염색체 우성 뇌동맥질환","의학유전학센터, 의학유전학과, 소아정신건강의학과",32406
렙토스피라증,"수막자극증상, 두통, 안구내 출혈, 간부전, 근육통, 열, 오한, 신부전, 황달",신증후성 출혈열,감염내과,31606
로하드 증후군,"수면 무호흡, 식욕증가, 열, 설사, 호흡곤란, 서맥, 체중증가, 사시, 경련, 사춘기 지연, 발한, 악성종양발생, 변비, 저체온","사시, 뇌하수체 기능부전, 프라더 윌리 증후군, 수면 무호흡증, 비만","의학유전학센터, 소아내분비대사과",33916
루드비히 안자이나 ,"열감, 경부 운동 제한, 목 주변 부종",봉와직염,이비인후과,32431
루빈스타인 테이비 증후군 ,"손가락의 변형, 인지장애, 얼굴형태의 이상, 언어장애, 코의 기형 동반, 정신 지체","연골외배엽 이형성증, 바르덴부르크 증후군, 골덴하 증후군, 홀트-오람 증후군, 클리펠-트라우네이-베버 증후군, 다발성 흑자 증후군, 마르판 증후군, 누난 증후군, 러셀 실버 증후군, 대뇌성 거인증, 트리처 콜린스 증후군, 엘러스-단로스 증후군, 코넬리아드랑게 증후군, 베크위트-위드만 증후군, ARC 증후군, 판코니범혈구감소증","의학유전학센터, 소아내분비대사과, 의학유전학과",32407
류마티스 관절염,"다발성 관절염, 관절통, 관절의 경직, 손마디가 뻣뻣해짐, 열감","골관절염, 관절염, 소아 류마티스 관절염, 패혈성 관절염",류마티스내과,30822
리스테리아,"근육통, 구토, 두통, 열, 설사","패혈증, 박테리아성 뇌수막염",감염내과,31663
린치 증후군,"악성종양발생, 덩어리가 만져짐","대장암, 위암, 난소암, 자궁내막암, 피부암","종양내과, 방사선종양학과",33549
림프관종,"덩어리가 만져짐, 발적","상기도 감염, 가와사키병, 경부 림프절염","성형외과, 소아외과",31593
림프부종,"사지 부종, 피부균열, 피부 긴장도 저하","유방암, 전립선암, 자궁경부암, 외음부암, 난소암, 질암, 자궁 육종, 자궁내막암","산부인과, 성형외과, 혈관외과, 재활의학과",32145
림프종,"덩어리가 만져짐, 암 부위별로 다름","비호지킨 림프종, 호지킨 림프종, 원발성 중추신경계 림프종","종양내과, 혈액내과, 방사선종양학과, 소아청소년종양혈액과",30904
마버그열,"오한, 열, 두통, 근육통, 권태감, 기침","파종혈관내응고, 황열, 라싸열, 에볼라 출혈열, 뎅기열",감염내과,33892
만기 정상 분만,이슬,조산,산부인과,31841
만성 B형 간염,"복부 통증, 오심, 열, 구토, 관절통, 피부소양감, 황달, 진한 소변색, 식욕부진","독성 간염, 간염, 급성 바이러스성 간염, 전격성 간염, 간경화, 간세포암, 만성 C형 간염, 급성 B형 간염","소화기내과, 간이식ㆍ간담도외과, 소아소화기영양과",31680
만성 C형 간염,"소화불량, 황달, 피로감, 복부 불편감","독성 간염, 전격성 간염, 간염, 간세포암, 급성 C형 간염, 만성 B형 간염, 간경화, 급성 바이러스성 간염",소화기내과,31682
만성 기관지염,"가래, 기침, 운동 시 호흡곤란, 객혈","천식, 알레르기 비염, 폐결핵","호흡기내과, 알레르기내과",32497
만성 기침,"코막힘, 기침","부비동염, 후비루, 폐렴, 급성 기관지염, 천식, 기관지확장증, 상기도 감염, 폐결핵, 만성 기관지염, 위식도 역류성 질환, 결핵, 폐암, 알레르기 비염","호흡기내과, 알레르기내과",31522
만성 단순 태선,"붉은 색소 침착, 발적, 피부소양감","접촉 피부염, 아토피성 피부염",피부과,32487
만성 담낭염,"오심, 복부 불편감, 구토, 방사통","담낭암, 담석, 급성 담낭염","소화기내과, 간담도췌외과, 간이식ㆍ간담도외과",32098
만성 두드러기,"피부소양감, 발적, 발진, 환부 통증","두드러기, 혈관부종, 콜린성 두드러기","피부과, 알레르기내과",31521
만성 부비동염,"권태감, 후각 감소, 후비루, 코막힘, 화농성 비루, 안면통","알레르기 비염, 만성 비염, 상기도 감염, 부비동염, 천식","이비인후과, 알레르기내과",31964
만성 비염,"후각장애, 기침, 재채기, 코막힘, 콧물","비중격 만곡, 알레르기 비염, 부비동염","호흡기내과, 이비인후과, 알레르기내과",32437
만성 신부전,"혼수, 피부소양감, 고혈압, 피부 긴장도 저하, 만성 신부전, 복수, 피로감, 면역기능 이상, 빈혈, 식욕부진, 감각 이상","급성 신부전, 낭성 신장 질환, 알포트 증후군, 고혈압, 당뇨병, 사구체신염, 신부전","신장내과, 소아청소년심장과, 신ㆍ췌장이식외과",31973
만성 위염,"복부 통증, 오심, 가슴 답답, 설사, 토혈, 복부 압박 증상, 소화불량, 복부팽만감, 권태감","위암, 위염, 헬리코박터균 감염, 위장관 출혈, 진행성 위암, 조기 위암, 위궤양",소화기내과,31402
만성 전립선염,"생식기 통증, 골반 통증, 배뇨곤란, 긴박뇨, 잔뇨감","양성 전립선 비대증, 전립선암",비뇨의학과,32211
만성 중이염,"귀의 통증, 어지러움, 환부의 분비물, 이명, 귀에서 냄새가 남, 청력장애","메니에르병, 이명, 급성 중이염, 현훈, 삼출성 중이염",이비인후과,31953
만성 췌장염,"체중감소, 방사통, 복부 통증, 지방변, 당뇨","췌장암, 췌장염, 급성 췌장염, 췌장 전이암","소화기내과, 간담도췌외과",31515
만성 치주염,"치아 벌어짐, 치아 흔들림, 치아 통증, 고름, 구취, 치아가 솟은 느낌, 잇몸염증",당뇨병,치과,31552
만성 폐쇄성 폐질환,"피로감, 호흡곤란, 기침, 가래, 곤봉지, 천명음, 흉곽 팽윤, 운동 시 호흡곤란","미만성 간질성 폐질환, 만성 폐질환, 만성 기침, 가습기 살균제 연관 폐질환","호흡기내과, 알레르기내과",31528
만성 폐질환,"가래, 객혈, 기침","미만성 간질성 폐질환, 규폐증, 만성 폐쇄성 폐질환, 폐암, 특발성 폐섬유화증, 비소세포성 폐암, 소세포성 폐암","호흡기내과, 알레르기내과",31813
만성 피로 증후군,"전신 통증, 피로감, 수면장애, 식욕부진, 기억장애, 권태감","우울증, 수면 장애, 거북목 증후군","가정의학과, 노년내과",32083
만성골수백혈병,"식욕부진, 간비대, 체중감소, 잦은 감염, 비장비대, 발한, 출혈 경향성, 피부 긴장도 저하","급성골수성백혈병, 만성림프구백혈병, 급성림프모구백혈병, 호중구감소증, 백혈병, 백혈구 이상","혈액내과, 소아청소년종양혈액과",31781
만성림프구백혈병,"체중감소, 피부 긴장도 저하, 비장비대, 빈혈, 기운없음, 출혈 경향성, 간비대, 경부 림프절병증","백혈구 이상, 급성림프모구백혈병, 만성골수백혈병, 급성골수성백혈병, 백혈병","혈액내과, 소아청소년종양혈액과",31780
말기 신질환,"무뇨, 피로감, 피부소양감, 전신 부종, 소변량 감소, 출혈 경향성, 혼수, 멍, 혈변, 오심","신부전, 급성 신부전, 만성 신부전","신장내과, 소아신장과, 신ㆍ췌장이식외과",31748
말단비대증,"말단비대, 시력 감소, 두통","뇌하수체 양성 및 악성 신생물, 뇌종양, 양성 뇌종양, 뇌하수체 기능 항진","내분비내과, 신경외과",32282
말더듬이,말더듬,"불안 장애, 강박 장애","정신건강의학과, 어린이병원, 소아정신건강의학과",31923
말라리아,"두통, 식욕부진, 열, 오한",뎅기열,감염내과,31745
말로리-바이스 증후군,"토혈, 오심, 구토, 위장관 출혈",위장관 출혈,소화기내과,32106
말초동맥질환,"저림, 피부궤양, 괴사, 시림, 감각 이상, 피부색 변화","죽상경화증, 당뇨병성 족부 질환, 대사 증후군, 당뇨병","심장내과, 성형외과, 혈관외과, 정형외과",33937
망막 박리,"광시증, 시야장애, 비문증, 사물이 찌그러져 보임","망막 전막, 고혈압, 마르판 증후군, 망막 출혈, 포도막염, 당뇨망막병증, 망막 정맥 폐쇄, 망막 열공, 당뇨병",안과,31157
망막 열공,"눈의 충혈, 시야장애, 눈부심","망막 출혈, 망막 전막, 망막 박리, 망막 정맥 폐쇄, 황반천공, 비문증, 황반변성",안과,32134
망막 전막,"시력 감소, 사물이 찌그러져 보임","황반천공, 황반변성",안과,31169
망막 정맥 폐쇄,"시력 감소, 시야장애","당뇨망막병증, 고혈압, 죽상경화증, 당뇨병, 녹내장, 고지혈증",안과,31162
망막 출혈,"시력 감소, 시야장애","황반변성, 망막 박리, 당뇨망막병증",안과,32232
망막색소변성증,"터널시야, 시력 감소, 야맹",야맹증,안과,32244
망막아세포종,"동공이 흰빛으로 반짝임, 안구증대, 사시, 동공산대, 사경, 시력 감소","맥락막 흑색종, 악성 흑색종","소아청소년종양혈액과, 안과",31139
망상 장애,"고정된 믿음, 망상",섬망,정신건강의학과,31898
망치족지,"발가락의 변형, 굳은 살, 발의 통증",무지외반증,정형외과,31857
매몰귀,귀 상부가 두피에 매몰됨,선천성 기형,성형외과,31982
매복 사랑니,"치아 통증, 입 주변 부종",치은염,치과,31549
맥락막 흑색종,"비문증, 광시증, 시력 감소, 눈의 충혈","비문증, 망막 박리","종양내과, 방사선종양학과, 안과",32234
맥립종,발적,봉와직염,"안과, 소아안과",32228
맹장염,"설사, 복부 통증, 변비, 옆구리 통증, 압통","메켈 게실, 게실 질환, 패혈증, 복막염",대장항문외과,31588
메니에르병,"청력장애, 오심, 어지러움, 이명, 이폐색감","난청, 현훈",이비인후과,32438
메리오이드증,"객혈, 두통, 사망, 오한, 권태감, 근육통, 호흡곤란, 기침, 열","폐렴간균에 의한 폐렴, 병원 감염성 폐렴, 지역사회성 폐렴, 폐렴, 패혈증, 흡인성 폐렴",감염내과,33893
메켈 게실,"장폐색, 혈변, 피부 긴장도 저하, 창백, 구토, 철결핍성 빈혈","장폐색, 철결핍빈혈",소화기내과,31674
면역결핍증,"설사, 림프절 농양, 피부염증, 항문주위 염증, 열, 경부 림프절병증",후천성 면역결핍증,소아청소년종양혈액과,31815
면역글로불린 A 신병증,"옆구리 통증, 혈뇨, 전신 부종, 단백뇨, 고혈압","신증후군, 만성 신부전, 상기도 감염, 사구체신염, 신부전","신장내과, 소아신장과",32194
면역혈소판감소증,"위장관 출혈, 출혈 경향성, 뇌출혈, 점상 출혈","상기도 감염, 풍진, 헬리코박터균 감염, 수두, 홍역","혈액내과, 소아청소년종양혈액과",32449
모공성 각화증,닭살,"모낭염, 여드름, 아토피성 피부염, 피부염",피부과,32154
모낭염,"여드름, 열, 오한, 환부 통증, 체모감소, 면포, 고름, 발적","여드름, 모공성 각화증, 수면 장애",피부과,31544
모반,"반점, 털이 동반되기도 함","사마귀, 오타 모반, 악성 흑색종","성형외과, 피부과",32652
모세혈관 확장성 운동실조 증후군 ,"정신 지체, 눈의 충혈, 당뇨, 삼키기 곤란, 보행이상, 발음 이상, 악성종양발생, 잦은 감염","신경섬유종, 레트 증후군, 결절성 경화증, 피질하 경색과 백질뇌증을 동반하는 상염색체 우성 뇌동맥질환, 로우 증후군","의학유전학센터, 의학유전학과",32337
모야모야병,"안면마비, 마비, 시력 감소, 언어장애, 학습장애, 감각 이상","자발성 두개강 내 출혈, 일과성 뇌허혈증, 뇌경색","신경과, 신경외과, 소아신경과, 소아신경외과",31854
모호한 생식기,"음핵비대, 무월경, 미소음경(micropenis), 외부 생식기가 모호함, 부분적 음순융합",터너 증후군,"소아내분비대사과, 소아비뇨의학과",30876
묘성 증후군,"정신 지체, 다른 선천성 기형","22번 염색체 장완 미세결실 증후군, 18번 염색체 장완결실 증후군, 18번 염색체 단완결실 증후군, 4번 염색체 단완결실 증후군, 윌리암스 증후군, 스미스-마제니스 증후군, 프라더 윌리 증후군","의학유전학센터, 의학유전학과",32349
무른 궤양,"환부의 분비물, 생식기 궤양, 림프 부종","성병, 매독","비뇨의학과, 산부인과",32293
무릎관절증,"관절잡음, 무릎 부위 통증, 관절 운동성 감소, 무릎 부위 부종","류마티스 관절염, 후종인대 골화증, 골관절염, 통풍성 관절염, 슬개건염, 관절염, 소아 류마티스 관절염, 패혈성 관절염, 슬관절 장애",정형외과,33503
무모증,음모가 적거나 없음,갑상선기능저하증,피부과,32479
무월경,"갱년기 증상, 무월경, 복부팽만감, 불임, 복부 통증, 비정상적 질출혈","원발성 월경곤란, 폐경기 및 여성의 갱년기 상태, 폐경, 갑상선기능항진증, 갑상선기능저하증, 갑상선중독증, 뇌하수체 기능부전, 골다공증, 뇌하수체 기능 항진, 성선기능저하증, 다낭성 난소 증후군, 모호한 생식기, 넬슨 증후군, 섭식 장애, 고환 여성화 증후군, 여성 불임","내분비내과, 산부인과",31832
무좀,"발가락 사이 갈라짐, 피부소양감, 발바닥 피부 두꺼워짐, 피부 각질, 물집","곰팡이 감염, 조갑백선",피부과,31677
무지(엄지)중수지관절측부인대손상,손의 통증,방아쇠 수지,"성형외과, 정형외과",32501
무지외반증,"하지부종, 척추와 허리 디스크, 엄지 발가락의 돌출, 발바닥 피부 두꺼워짐, 발의 통증",관절염,정형외과,31979
무치아증,"저작장애, 안면 변형",칸디다성 구내염,치과,33511
문맥색전증,"복수, 저혈압, 문맥성고혈압","동맥색전증 및 혈전증, 간경화, 간세포암, 식도 정맥류","소화기내과, 혈관외과, 소아소화기영양과",31675
뮌하우젠 증후군,거짓 증상 호소,건강염려증,정신건강의학과,31910
